rewire_id,text,label
kenya2022_english-110,[USER] [USER] [USER] Watoto wa Kimwarer & Arror Dam eaters & sewage line grabbers! Ruto Ali grab mpaka mafi!,
kenya2022_english-111,"Wanjigi is a Ruto mole, who has now been flushed out of ODM",
kenya2022_english-112,[USER] This mzee Qassim is becoming senile. The entire. The entire debt of kenya from 1963-2002 when Moi left power was a measly 730b. That includes everything Mudavadi borrowed as Finance Minister. We are at 11 trillion!!!! [URL],
kenya2022_english-113,"Blaming kalenjin? ""When my father left this world, no children had their fees paid in this area. It was their parents who were paying fees through coffee, tea, rice. They [the Kalenjin through Moi] came and destroyed all that. Isn’t it?"" Uhuru asked.",
kenya2022_english-114,KOT is only good for banters & sloganeering kind of like our elections. Any topic outside banter & sloganeering you'll get to watch educated Kenyans speak with the IQ of a moth. Stop embarrassing yourselves in international pages just talk about Ruto & Azimio till this is over.,
kenya2022_english-115,"[USER] Ruto actually said NO MONEY was lost. He just said an accounting dispute had arisen and the amount in question was 7 billion, contrary to ODM illiterate claim that 21 billion had been stolen. Money allegedly stolen was signed off by Uhuru who you are now in bed with. Ask him.",
kenya2022_english-116,"Kuna jamaa amesema ""this is what Ruto is doing to Kikuyu."" 😂😂😂😂😂 Ruto kweli ni movement! They can't believe we refused to board the 'Ng'ombe ngûrû Mutikai' train, but we boarded the Sugoi bus [URL]",
kenya2022_english-117,"Why are our Luhya brethren tools for spreading false, hateful and inciteful messages? Stanley Livondo & Cyrus Jirongo seem to have found relevance in this year's elections as tools for propagating hate against the DP Ruto. We shall prove to them that #WestrnNiKenyaKwanza",
kenya2022_english-118,"The fool's confessing on national TV that he was ambushed with the ""handshake"", so much so he had no time to brief his then co-principals until he was just abt to be paraded before the media. Yet he wants Kenyans to believe that he's his own person. Pass me a bucket. 🤮🤮🤮🚮🚮🚮",
kenya2022_english-119,"Listening to Uhuru Kenyatta is NAUSEATING. Mr. President, stop pretending that you care about PEACE and UNITY because your Presidency is coming to an end and apparently, you are too young to retire. Kenya is not a MONARCHY! RAILA is not a REMOTE CONTROL!",
kenya2022_english-120,[USER] [USER] A grown man telling another grown man who was alive in 2002 that Raila did not support/campaign for Kibaki! Bwana what type of cult is this? We all saw Kibaki was in Wheelchair and Raila and Co delivered the win.,
kenya2022_english-121,#SaganaDeclaration is of no benefit to Kenyas economy. All hustlers from all tribes in Kenya should reject such nonsense. Sagana is a meeting organized by sitting President of Kenya Uhuru with intentions of shaming his deputy Ruto & disregarding and disrespecting him. IKO SIKU!!!,
kenya2022_english-122,"[USER] [USER] There is nothing you can do about Kenyatta ill-gotten wealth. Only talk. Kikuyus opposing UHURU are bitter losers. If UhuRuto 10yrs never changed your from a bitter hater, Ruto's imaginary 5 yrs will make you commit suicide.  Ruto used PEV victims and ICC to be DP.",
kenya2022_english-123,"[USER] [USER] [USER] Don't live in a lie, this won't be a raila's presidency, it'll be uhuru's presidency extended. Consequently, it gets back to being a Kikuyu presidency.",
kenya2022_english-124,"[USER] [USER] Jimi Wanjigi is either incredibly delusional or has some sinister motive to think that ODM would even consider his candidature as the party's flag bearer. ODM is Raila and Raila is ODM, plain and simple.",
kenya2022_english-125,"[USER] My fellow Kikuyus tend to hold onto nonsensical beliefs.   Who remembers the 2002 declaration that ""THE PRESIDENCY CANNOT GO PAST CHANIA RIVER.""   FACT: Kibaki became president.  The same will happen in 2022: Raila will be President.   Get used to seeing your next president. [URL]",
kenya2022_english-126,Uhuru just walked into an ambush when he mentioned the word “church”.Ruto will use that and craft a narrative that resonates with church goers and trust me it will give him serious traction-there are people who see what Uhuru said as an attack on God as such there must be Malipo.,
kenya2022_english-127,"[USER] Its a seminal moment for Kenya, more so of the President & Raila handshake & the new political direction for the country.   One doesn't have to feign deafness to be a rabble rouser despite the odds! Doesn't pay; not even a kobo! 😂😂  Be a smart pant!",
kenya2022_english-128,"Ruto said there were some good proposals in the BBI but others were very dangerous for the country n he enumerated some at Boma, but was jeered by Uhuraila supporters The High Court n the Court of Appeal found fault with the BBI. How is Ruto to blame?",
kenya2022_english-129,"The more Kenya Kwanza attacks President UHURU KENYATTA the easier we are making it for RAILA ODINGA to become Kenya's 5TH PRESIDENT. A Head of State is like a MUGUMO TREE, you may attempt to shake it but you only end up shaking your BUTTOCKS.",
kenya2022_english-130,#JubileeNiSisi DP Ruto will not get more than 2M votes in entire KE. To win presidency [USER] must get 99% of all votes in Mt Kenya & 99% voter turnout there. saboteur Wanjigi must join Azimio unconstitutionally + other briefcase & tribal parties. President Uhuru Kenyatta,
kenya2022_english-131,SAGANA 3 is like a confession by a man to his people that the baby(Ruto) my so called wife is about to deliver is not mine.Mine is the other one(Raila) that I got while I was a Form one.  Let us see who would be embraced between the two.,
kenya2022_english-132,"The only solutions to these is to send all of them home, Raila, Ruto and co. If not, we shall be here on twitter crying and nothing will happen.  #lowerfoodprices #Sagana3  #UhuruTheChessmaster [URL]",
kenya2022_english-133,"[USER] [USER] Who asked you? Just because you teach in the U.S doesn't mean you know too much than us...go to hell. Wachana Na Ruto, I thought you were an objective activist only to realize I was wrong about you",
kenya2022_english-134,Deputy president William Ruto said that he should be blamed for the run away inflation in Kenya. We Kenyans haven't forgotten he is a killer and a thief. Baba the 5th is the way to go,
kenya2022_english-135,"[USER] Have you imagined it as a disaster for the king maker? What thermometer did you use to determine the KIKUYUS love for the two, I mean uhuru and raila? Why don't they go to Kasarani? Why hide in the bushes of sagana? Hidden agenda? RUTO HERE ,RUTO THERE, RUTO EVERYWHERE.",
kenya2022_english-136,"[USER] So Prof. When will you ever grow out of this primitivity of the tribal thinking? Can’t you even for once see a person like The President, The DP or The Rt. Hon. Raila as Kenyans, you must see them as representatives of tribes?",
kenya2022_english-137,Wanjigi's current tribulations are clear indications of the life Raila&co have wished for this nation!Chaos and chaos only  Who knew Uhuru would take this route  Voting UK thrice is the worst mistake Our guy is showing us the middle finger daily!  We shall forget but not forgive! [URL],
kenya2022_english-138,"[USER] [USER] Ruto will face two enemies in 2022 election, the kikuyus who hates him with passion and voters apathy, there are millions of silent kikuyus who will never ever vote for Ruto ata kwa dawa, they will rather not vote for the presidency than vote for Ruto. [URL]",
kenya2022_english-139,"[USER] [USER] [USER] [USER] Okay, let's play this...your guy is on record defending Eurobond, NYS, Arror/Kimwarer theft yet Raila has never been quoted on anything...the maize scandal issue he fired the culprits but we're saved by Kibaki...Raila is as clean as they come",
kenya2022_english-140,"[USER] [USER] True, and bcoz Obama is a cousin to Raila, we don`t need a president who will destroy our fellow Africans like Obama again, remember blood is thicker than water. #SayNoToAfricaEnemies.  🤣🤣🤣🤣🤣",
kenya2022_english-141,"Mongosuthu founded Inkatha when all one who wants to compete with him could do was quote the Bible at CU , cry for miracles , snitch on comrades  at UoN and loot via YK92.",
kenya2022_english-142,[USER] [USER] am telling you we don't want a single kikuyu vote even Uhuru can vote for Ruto with our permission. we just want IEBC to be fair & credible the president has assured us that and victory is ours. there are 48 tribes in kenya my friend.,
kenya2022_english-143,[USER] [USER] [USER] What a nice way of Inciting Molo Residence. Molo occupants  can see Raila & Uhuru's little game of arousing hatred but they won't buy it,
kenya2022_english-144,"RT [USER]: You hate history and that's why you call Raila Odinga a state project. 2007  Mwai Kibaki-4,584,721 Raila Odinga-4,352,993 2013…",
kenya2022_english-145,"When it was convenient, Ruto supported tax increase which is largely behind increases prices in most commodities, now it’s elections time, the chàrlatan is shouting lowerfoodprices after being part of the problem.  #RutoReturnOurFood [URL]",
kenya2022_english-146,"The judiciary has been fighting Uhunye left right and center... Had he tried to act against Ruto, the Courts would have frustrated him, just like they have done to cases against akina Obado, Sudi, Echesa, etc Let's be honest here 😅😅",
kenya2022_english-147,[USER] Which Kikuyus?? Just talk about yourself and your taboo!!!! Which is that Kikuyu taboos against voting for Raila Amollo Odinga?...Am also a Kikuyu and will vote for Raila Amollo Odinga as the 5th President of Republic of Kenya...watch this space.....🙄,
kenya2022_english-148,[USER] [USER] You are  like a maasai sheep. How can talk of deep state without talking of your God Ruto? You are confused to an extent of losing contact with reality. Why don't you craft your own hashtag and justify that Ruto is not a deep state?,
kenya2022_english-149,[USER] [USER] Not all luhyas were born with brains. We a small minority that has been brainwashed that Raila must be a president first before a luhya can be one. Jipe raha zako,
kenya2022_english-150,"[USER] The status quo is Kikuyu, Kalenjin pendulum oscillation from 1964. With all due respect David why can't we allow another community a chance. When shall we see a Giriama in power? Vote Raila Amolo  Odinga to break this cycle",
kenya2022_english-151,[USER] Jubilee was and always will be a GEMA affair. Tuju now knows. The only good thing jubilee did is it introduced Ruto to us and in him we saw a Patriot not a tribal prince ✅,
kenya2022_english-152,"""Yaani,..I fail to understand how Dp ruto was Born with a Steel heart!..when kikuyu's were being Massacred in eldoret he was telling [USER] to 'kaa ngumu"". ""Yaani again when Kawagware was being Burnt he told pres.uhuru to 'kaa ngumu"".  Ruto wants to Succeed ADOLF HITLER's record.",
kenya2022_english-153,"[USER] Lunacy is categorized in so many ways and this is just one. Which shocks are you talking about?Mudavadi have no people, if Raila beats him in his own county who is he to have terrifying shockwaves?🗑🗑🗑🗑",
kenya2022_english-154,"[USER] [USER] [USER] [USER] Sir we know what's right, we burn to death a phone thief, sack house girl/boy for incompetence, when we need work done we go for the best irrespective of their tribe but when comes to politics we throw it all out it doesn't matter its all about tribe and money",
kenya2022_english-155,"[USER] Only stupid Luos,stupid Kikuyus will vote for Ruto .We can't afford to have our legends taken to exile.[USER] has a sinister plan of sending Raila and Ohuru to exile if he takes over the government,but that will not happen under our watch.",
kenya2022_english-156,[USER] Gideon Moi is holding Brief for Uhuru at OKA .Its very Probable OKA will Metamorphosize to Azimio..With /Without Some Members Present 😂. That Tells You Mois and Kenyattas are Pursuing their Own Selfish Interests riding on a Vehicle 🚗 called Raila,
kenya2022_english-157,"There is a foundation set up in Panama in 2003 for the president’s now 88 year-old mother, “Mama” Ngina Kenyatta. Upon her death, all the assets held in the foundation were to pass to  Uhuru. William Ruto is not the thief the Kenyatta's Moi's and the Odinga's are , we know.",
kenya2022_english-158,"[USER] That can only happen if you support Hon. Musalia Mudavadi as president, or else the presidency will remain a Kikuyu-Kalengin affair. If Ruto wins:  Fact 1: Kikuyus will demand his support back Fact 2: Musalia will not have a chance to be president Fact 3: We will remain divided",
kenya2022_english-159,[USER] This is not true . As usual the brief given you [USER] is the usual lies of TANGATANGA. The date at handshake date was Kshs Tr. 8.ç95 from post Kibaki'[USER].45trillion.  Selective amnesia,
kenya2022_english-160,"Trying to attack Ruto while hiding at the back of mganga Raila , face your dp my friend don't be coward , you president attacked Ruto using your Kikuyu language . As if that's not enough you drag the churches and religion at large [USER]  #RespectReligionKE #SaganaLies Kikuyu",
kenya2022_english-161,Five Good Reasons to Vote for Ruto: 1. He campaigned for Uhuru 2. Uhuru is fighting him 3. He gives generously to churches 4. He was born in a poor family  5. To punish Uhuru.   [USER] [USER],
kenya2022_english-162,"[USER] For 4yrs,Ruto led Tangatanga have been insulting, mocking,and spreading FALSEHOODS and Hate against the president in his own backyard,The president chose to remain silent all along,From Wednesday,He will begin talking and defending himself against the LIES propagated by TT,Relax!",
kenya2022_english-163,[USER] [USER] [USER] Raila will Never be a President ata kwa Madawa 😂😂😂😂Ataenda Bondo tu Vizuri 😂😂😂He is More Corrupt than Ruto 😂 Molasses plant Mumias 👿👿 [URL],
kenya2022_english-164,"Ngilu said it's ""stupid thinking"" for Ruto to give wheelbarrow.between you Ngilu and Ruto who fits / suits that word [URL] promised pple of kitui to buy their ndegu at 100/ did you do that? You promised women to alight their jerricans by providing H2o.where is t",
kenya2022_english-165,[USER] Aden Duale has and is misusing Islam. Ask him between uhuru kenyatta and William Ruto who is the president of the republic of kenya. He and I know that Allah has told us to obey our leaders. It means he has participated in corruption with Ruto hence his surport,
kenya2022_english-166,Evolution of Tangatanga homobilis: 1. Uhuru is playing Raila. 2. Raila can't sell in Mt Kenya. 3. Raila can't attract crowds in Mt Kenya. 4. Raila is ferrying crowds. 5. People are paid to attend Raila rallies. 6. Crowds don't mean votes. Wah. Reality has hit matangatanga hard.,
kenya2022_english-167,"[USER] How people choose to sanitize Ruto's name even after he killed all ICC witnesses is amazing. Kenyans choose to close their eyes and and stupidly follow someone who's gonna do more executions when ascends to power. At this point we don't care. Elect him, let's meet here next year.",
kenya2022_english-168,"[USER] [USER] [USER] [USER] and [USER]  must be ready to be exiled if they allow the vangeful and vindictive [USER]  to become the president.The Luos must be ready to go back to south Sudan,the Kikuyus must find their way to congo forest which I hear is under threat of fire.",
kenya2022_english-169,"After 59 years since independence.....the three families finally realized that this country needed to be moved to where some ""ancestors"" wanted it to be 🤔 You get to wonder, wasn't that enough time Odinga?Moi? Kenyatta?We are NOT buying into this gimmicks going forward.",
kenya2022_english-170,"[USER]  let me remind you, Pres. Uhuru made Ruto his deputy  so as to bring  to an end perenieal  political scarmishes and mass displacements in Rift valley region that your master n  terrorist was ever causing. #SaganaDeclaration",
kenya2022_english-171,"I'm told the two senators are at it again, after succeeding in their mission number 1 of delivering Musalia and Wetangula the 5th to the Hustler Nation, they've embarked on Mission number 2, pushing for Musalia Mudavadi to become Kenya Kwanza's deputy.  Atwoli #SaganaDeclaration [URL]",
kenya2022_english-172,"I would like to Wish Quick recovery to Murang'a Woman Rep Sabina Chege [USER]. We in ODM are impressed with your sacrifice to revamp The Jubilee Party. Raila Odinga's presidency is the ultimate goal.. don't worry about CHEBUKATI's Witch Hand, we'll defeat the DEVIL",
kenya2022_english-173,[USER] [USER] [USER] Don't run to your tribal cocoon when things get hot..nfact you're not the right person to talk about Luhya people .You're a broker out to get financial benefits.,
kenya2022_english-174,"[USER] Aren't you Uhuru the head of ""My Government""? Why not arrest Ruto for graft?? After mobilizing selected few with 3k and 2k for boda boda riders, you now attack the church which day and night prays for the government? Why not take that evidence to DCI? Too low of you ""Muthamaki""",
kenya2022_english-175,"[USER] [USER] [USER] Kikuyus are free to vie even now, but after Uhuru they will not get power..... I dont care whom their Kingpin will be. Ruto will be wiped out once and for all, his anger and vengeance nature will not allow him",
kenya2022_english-176,[USER] Ruto is trying to pull the same card Trump pulled in the US. If you draw parallels: 1. Power of the incument-Raila is NOT 2. Kenya is NOT the US-voting is ethnic 3. Hillary was a Woman-RAO 4. Whites were trying to tech a black president a lesson  #UhuruTheChessmaster  #Sagana3,
kenya2022_english-177,[USER] [USER] [USER] [USER] Am not a Kalenjin and there's nothing wrong being one and being a Ruto supporter at the same [URL] seem to be a tribal bigot....,
kenya2022_english-178,"[USER] Now that UHURU has just woken up,and realized that he’s a MÛGÎKÛYÛ,like us,the very people who stood by him in the hour of need,and whom he has KILLED ECONOMICALLY,what is it that he has for “US”that will melt our UNDYING ALLEGIANCE to RUTO?",
kenya2022_english-179,"This is how uhuru did to Ruto campaigns on mt.Kenya😤. Remember you can't buy a kikuyu, you can only rent one☝️ It's the end of the road for wheelbarrow merchants☝️ [URL]",
kenya2022_english-180,[USER] [USER] [USER] [USER] [USER] [USER] Some Kenyans like you are just [URL] you choose nepotism by saying a given family this that.Where was your daddy when their fathers fought.And if Ruto wins the presidency in Kenya remains tribalic [URL] is only RAO who had muscles from minority,
kenya2022_english-181,"Selling Raila in Central Kenya is equivalent to convincing a Muslim to eat pork, the Raila propaganda that has been fed to people of Mt. Kenya for the last 20 years cannot be undone by one drunkard",
kenya2022_english-182,[USER] Anyone branding Raila a project is behaving like Putin accusing Ukrainian President of being a Nazi when he knows too well that Zelenskyy is a Jew whose relatives were wiped out by Hitler.,
kenya2022_english-183,Someone should be able to differentiate between Kikuyus heading to Sagana to listen to Uhuru & voting for Raila.those are 2 different things.Kenyans are jobless and if offered 1K to attend a meeting they will definitely turn out in numbers.We haven't forgotten #SaganaDeclaration,
kenya2022_english-184,"Recenty talked to 2 people: 1 Rails, the other Ruto supporter. I asked reason why they were voting for the 2.Raila supporter said he brings peace and Ruto supporter said he is a Hustler.when will Kenyans learn..non of them is deserves to lead this country.#jubileeNiSisi #Kenya",
kenya2022_english-185,"Uhuru endorses Raila for presidency, says he has the best interests for the country.Uhuru is the LEAST Studied Politician, but the MOST discussed. He is MENDING a historical puzzle of a Kikuyu making a Luo PRESIDENT. Take time to STUDY that, because it will HAPPEN.   #SaganaDec [URL]",
kenya2022_english-186,"There's no such thing as oka,it's just wiper. Jirongo,karua and Gideon are together worth less than 50k votes. Kalonzo is 1 million votes strong. Raila and uhuru are 9 milion votes strong.",
kenya2022_english-187,"[USER] [USER] Hon Kositany [USER] , what kind of leadership do expect from a drunk like UhuRaila and a bullying internal CS like the ganja farmers Pablo Matiangi? Safuna becomes a he-goat. Dr. RUTO will return Kenya into a state with your like in advisory. Thank you sir for your courage.",
kenya2022_english-188,[USER] I will NOT say for CERTAIN that Kikuyus will VOTE for Raila 2022 100% BUT for Kalenjins to have CONFIDENCE and STRONG BELIEF that they will CONTROL how Kikuyus will VOTE in 2022 is the GREATEST JOKE of the CENTURY.,
kenya2022_english-189,"[USER] KARUGIA I think its UHURU who stood by RUTO who was VENOM to KIKUYUS after the burning of INNOCENT worshippers in KIAMBAA Church in ELDORET,UHURU prevailed upon GEMA that partnering with a Kalenjin in 2013 will permanently end the 2 Tribe long-standing animosity",
kenya2022_english-190,Raila is interested in setting up tribes there against each other in the regional. There was a multi-agency and international committee for resettlement how comes he has never allowed it to meet. How comes Karura Forest that has now been encroached on does not interest him?,
